2,16,1,0
4,215,70,79
3,31,2,5
2,931,236,11
7,49,32,38
2,31,1,0
2,6,2,0
1,37,8,6
7,7,1,0
6,77,8,0
12,25,1,0
2,26,4,0
1,23,1,0
3,12,4,0
2,28,13,86
1,18,2,0
6,58,4,2
5,33,6,64
4,4,54,134
4,9,1,0
4,14,19,92
2,17,6,0
1,611,153,6
2,8,1,0
13,104,19,0
5,18,2,0
26,96,16,0
4,6,1,0
2,9,2,0
1,479,78,7
4,5,1,0
1,10,1,0
1,15,3,0
3,17,6,15
5,5,5,0
7,24,4,16
3,7,1,0
3,17,1,5
6,17,29,72
3,27,4,0
8,65,4,24
1,11,2,1
10,61,11,5
5,31,9,0
2,260,50,10
7,29,23,161
1,8,1,0
3,9,2,0
3,24,2,0
2,6,2,0
1,906,224,37
4,767,229,22
4,19,8,3
1,12,2,0
2,19,4,0
4,44,83,193
1,8,1,0
2,13,2,0
2,12,2,0
11,29,3,0
2,19,7,50
8,24,10,0
4,1098,342,9
3,13,4,0
1,20,1,0
2,9,5,0
4,8,2,0
20,66,20,0
3,22,1,0
1,23,1,0
7,13,2,0
3,12,4,0
1,12,1,0
3,23,2,0
2,312,74,4
3,26,2,3
6,54,54,91
2,40,5,0
1,362,69,6
7,14,3,0
4,11,1,0
2,16,1,0
2,382,95,28
8,26,24,64
2,960,195,19
4,26,4,9
8,97,17,3
1,9,7,0
1,18,1,0
3,17,4,7
1,55,15,2
7,18,4,0
5,458,193,154
6,712,313,34
4,7,1,0
4,14,2,0
5,60,3,0
2,22,4,0
4,19,1,0
4,18,1,0
12,38,9,0
1,23,1,0
3,10,4,0
1,11,4,33
1,19,2,0
6,850,194,14
5,21,3,0
4,15,7,0
1,18,2,0
3,27,4,0
12,104,22,8
9,8,2,0
6,32,6,3
2,13,5,0
5,1124,259,5
2,31,7,0
14,91,9,4
3,18,2,0
15,45,7,2
2,6,2,0
3,6,1,0
4,12,2,0
6,41,10,4
1,7,7,0
6,12,8,4
3,25,7,0
2,15,2,0
4,15,2,0
4,10,2,0
2,17,3,0
3,32,111,363
5,36,9,0
7,30,2,5
2,21,2,4
6,208,40,10
12,26,10,0
1,16,1,0
4,14,2,0
4,46,2,0
6,1390,407,32
4,14,2,0
5,15,3,0
1,481,126,15
2,11,1,0
5,27,1,0
10,3,1,0
4,12,2,0
4,4,3,0
1,9,2,19
4,21,1,0
3,683,178,12
1,18,3,0
2,269,76,6
7,45,19,17
1,12,1,0
7,498,102,15
1,261,88,8
2,10,3,0
10,30,2,5
10,15,2,0
3,29,7,0
6,13,8,0
10,29,4,0
5,28,1,0
